date,home_team,away_team,home_odds,away_odds,final_score,winner_team
17 Apr 2026,Barcelona,Bayern,1.32,4.62,95-69,Barcelona
17 Apr 2026,Panathinaikos,Anadolu Efes,1.18,6.40,97-62,Panathinaikos
17 Apr 2026,Dubai,Valencia,2.12,1.91,85-95,Valencia
17 Apr 2026,Monaco,Hapoel Tel Aviv,1.76,2.30,105-85,Monaco
17 Apr 2026,Zalgiris Kaunas,Paris,1.29,4.10,85-79,Zalgiris Kaunas
16 Apr 2026,Real Madrid,Crvena Zvezda Meridianbet,1.33,4.25,103-82,Real Madrid
16 Apr 2026,Partizan Mozzart Bet,Baskonia,1.48,2.98,91-79,Partizan Mozzart Bet
16 Apr 2026,Olympiacos,Olimpia Milano,1.17,6.80,85-76,Olympiacos
16 Apr 2026,Maccabi Tel Aviv,Virtus Bologna,1.37,3.65,85-89,Virtus Bologna
16 Apr 2026,Lyon-Villeurbanne,Fenerbahce,3.50,1.36,76-81,Fenerbahce
12 Apr 2026,Maccabi Tel Aviv,Hapoel Tel Aviv,2.80,1.53,88-99,Hapoel Tel Aviv
10 Apr 2026,Lyon-Villeurbanne,Crvena Zvezda Meridianbet,3.35,1.48,93-106,Crvena Zvezda Meridianbet
10 Apr 2026,Partizan Mozzart Bet,Zalgiris Kaunas,2.35,1.76,74-83,Zalgiris Kaunas
10 Apr 2026,Virtus Bologna,Baskonia,1.71,2.40,72-82,Baskonia
10 Apr 2026,Dubai,Anadolu Efes,1.33,4.16,69-85,Anadolu Efes
10 Apr 2026,Monaco,Barcelona,1.70,2.36,93-86,Monaco
09 Apr 2026,Paris,Maccabi Tel Aviv,2.00,1.91,113-80,Paris
09 Apr 2026,Valencia,Panathinaikos,2.00,2.03,102-84,Valencia
09 Apr 2026,Olimpia Milano,Bayern,1.44,3.29,84-94,Bayern
09 Apr 2026,Fenerbahce,Real Madrid,1.82,2.15,69-74,Real Madrid
09 Apr 2026,Hapoel Tel Aviv,Olympiacos,2.22,1.89,85-89,Olympiacos
08 Apr 2026,Anadolu Efes,Partizan Mozzart Bet,1.82,2.18,79-72,Anadolu Efes
08 Apr 2026,Monaco,Lyon-Villeurbanne,1.26,4.40,81-76,Monaco
07 Apr 2026,Baskonia,Maccabi Tel Aviv,1.99,1.95,101-98,Baskonia
07 Apr 2026,Barcelona,Panathinaikos,2.30,1.72,79-93,Panathinaikos
07 Apr 2026,Virtus Bologna,Bayern,1.78,2.18,80-85,Bayern
07 Apr 2026,Valencia,Olimpia Milano,1.34,3.60,102-96,Valencia
07 Apr 2026,Olympiacos,Real Madrid,1.50,2.92,102-88,Olympiacos
07 Apr 2026,Crvena Zvezda Meridianbet,Paris,1.40,3.65,94-81,Crvena Zvezda Meridianbet
07 Apr 2026,Zalgiris Kaunas,Dubai,1.40,3.50,65-77,Dubai
07 Apr 2026,Hapoel Tel Aviv,Fenerbahce,1.82,2.25,95-80,Hapoel Tel Aviv
03 Apr 2026,Baskonia,Real Madrid,3.35,1.50,98-96,Baskonia
03 Apr 2026,Virtus Bologna,Valencia,3.17,1.50,81-94,Valencia
03 Apr 2026,Lyon-Villeurbanne,Olympiacos,4.70,1.27,74-82,Olympiacos
02 Apr 2026,Maccabi Tel Aviv,Anadolu Efes,1.45,3.05,103-89,Maccabi Tel Aviv
02 Apr 2026,Paris,Olimpia Milano,1.90,2.09,103-93,Paris
02 Apr 2026,Dubai,Monaco,1.67,2.50,101-91,Dubai
02 Apr 2026,Crvena Zvezda Meridianbet,Partizan Mozzart Bet,1.41,3.60,82-89,Partizan Mozzart Bet
02 Apr 2026,Zalgiris Kaunas,Barcelona,1.59,2.60,83-71,Zalgiris Kaunas
02 Apr 2026,Hapoel Tel Aviv,Panathinaikos,2.12,1.83,92-88,Hapoel Tel Aviv
01 Apr 2026,Bayern,Fenerbahce,3.40,1.43,85-76,Bayern
31 Mar 2026,Virtus Bologna,Paris,1.75,2.39,82-103,Paris
27 Mar 2026,Barcelona,Crvena Zvezda Meridianbet,1.60,2.55,92-88,Barcelona
27 Mar 2026,Baskonia,Hapoel Tel Aviv,3.00,1.50,118-109,Baskonia
27 Mar 2026,Partizan Mozzart Bet,Valencia,2.57,1.61,110-104,Partizan Mozzart Bet
27 Mar 2026,Panathinaikos,Monaco,1.28,4.80,107-97,Panathinaikos
27 Mar 2026,Fenerbahce,Zalgiris Kaunas,1.45,3.10,82-92,Zalgiris Kaunas
26 Mar 2026,Real Madrid,Anadolu Efes,1.22,5.80,82-71,Real Madrid
26 Mar 2026,Bayern,Lyon-Villeurbanne,1.38,3.58,93-83,Bayern
26 Mar 2026,Maccabi Tel Aviv,Dubai,1.92,2.05,104-100,Maccabi Tel Aviv
26 Mar 2026,Olimpia Milano,Virtus Bologna,1.39,3.56,103-87,Olimpia Milano
25 Mar 2026,Baskonia,Crvena Zvezda Meridianbet,2.65,1.60,100-108,Crvena Zvezda Meridianbet
24 Mar 2026,Real Madrid,Hapoel Tel Aviv,1.42,3.50,92-83,Real Madrid
24 Mar 2026,Partizan Mozzart Bet,Lyon-Villeurbanne,1.33,3.90,79-78,Partizan Mozzart Bet
24 Mar 2026,Barcelona,Anadolu Efes,1.37,3.65,78-71,Barcelona
24 Mar 2026,Valencia,Olympiacos,2.10,1.90,85-84,Valencia
24 Mar 2026,Dubai,Panathinaikos,2.35,1.75,104-107,Panathinaikos
24 Mar 2026,Monaco,Olimpia Milano,1.76,2.31,90-85,Monaco
24 Mar 2026,Zalgiris Kaunas,Bayern,1.32,3.80,78-71,Zalgiris Kaunas
24 Mar 2026,Maccabi Tel Aviv,Fenerbahce,2.35,1.74,94-89,Maccabi Tel Aviv
20 Mar 2026,Lyon-Villeurbanne,Maccabi Tel Aviv,2.13,1.82,85-89,Maccabi Tel Aviv
20 Mar 2026,Panathinaikos,Crvena Zvezda Meridianbet,1.38,3.95,82-74,Panathinaikos
20 Mar 2026,Zalgiris Kaunas,Real Madrid,2.06,1.94,87-85,Zalgiris Kaunas
20 Mar 2026,Fenerbahce,Olimpia Milano,1.38,3.50,79-75,Fenerbahce
19 Mar 2026,Paris,Partizan Mozzart Bet,1.53,3.00,81-90,Partizan Mozzart Bet
19 Mar 2026,Bayern,Dubai,1.99,1.98,74-87,Dubai
19 Mar 2026,Olympiacos,Baskonia,1.11,10.60,90-80,Olympiacos
19 Mar 2026,Hapoel Tel Aviv,Virtus Bologna,1.24,4.60,109-91,Hapoel Tel Aviv
19 Mar 2026,Anadolu Efes,Monaco,1.56,2.61,93-98,Monaco
19 Mar 2026,Valencia,Barcelona,1.42,3.30,62-66,Barcelona
17 Mar 2026,Olympiacos,Fenerbahce,1.46,3.18,104-87,Olympiacos
17 Mar 2026,Partizan Mozzart Bet,Dubai,2.27,1.80,88-74,Partizan Mozzart Bet
17 Mar 2026,Hapoel Tel Aviv,Paris,1.41,3.35,93-82,Hapoel Tel Aviv
